Class,Description
Apple,"A sweet and crunchy fruit that comes in various colors like red, green, and yellow. Apples are rich in fiber and vitamin C, making them a healthy snack choice."
Dogs,"Domesticated animals known for their loyalty and companionship. Dogs come in various breeds, sizes, and temperaments, making them one of the most popular pets worldwide."
Strawberry,"A small, red fruit with a juicy texture and sweet-tart flavor. Strawberries are rich in vitamin C and antioxidants and are often used in desserts and smoothies."
Capsicum,"Also known as bell pepper, capsicum comes in different colors like green, red, and yellow. It has a sweet, mild flavor and is commonly used in salads, stir-fries, and curries."
Radish,A root vegetable with a crisp texture and a peppery taste. Radishes are commonly eaten raw in salads or pickled for added flavor.
Pumpkin,"A large, orange squash often associated with autumn and Halloween. Pumpkins are rich in vitamins A and C and are used in soups, pies, and festive decorations."
Cats,"Small, domesticated felines known for their independence and playful nature. Cats are popular pets and are valued for their companionship and ability to catch pests."
Kiwi,"A small, fuzzy fruit with bright green flesh and tiny black seeds. Kiwis are packed with vitamin C and have a sweet, tangy taste."
Gardenroses,"One of the most popular flowers, known for their beauty and fragrance. Garden roses come in various colors and symbolize love, friendship, and admiration."
Cauliflower,"A cruciferous vegetable with a dense, white head and a mild flavor. Cauliflower is versatile and can be roasted, mashed, or used as a low-carb alternative to rice or pizza crust."
Potato,"A starchy root vegetable that is a staple food worldwide. Potatoes can be boiled, fried, or baked and are used in countless dishes."
Bean,"A legume that comes in various types, including kidney beans, black beans, and green beans. Beans are high in protein and fiber, making them a nutritious food source."
Gardenias,Beautiful white flowers known for their strong fragrance. Gardenias are often used in perfumes and ornamental gardens.
Peonies,"Large, lush flowers that bloom in shades of pink, white, and red. Peonies symbolize romance and prosperity and are popular in floral arrangements."
Cucumber,"A cool, refreshing vegetable with high water content. Cucumbers are commonly eaten raw in salads or pickled as a snack."
Orchids,"Exotic and elegant flowers known for their intricate blooms. Orchids are a symbol of love, beauty, and strength."
Cherry,"A small, round fruit that can be sweet or tart. Cherries are rich in antioxidants and are often used in desserts, juices, and snacks."
Lilies,"Elegant flowers with large, trumpet-shaped blooms. Lilies come in various colors and are often associated with purity and renewal."
Daisies,Simple and cheerful flowers with white petals and a yellow center. Daisies symbolize innocence and new beginnings.
Tulip,A popular spring flower that comes in various vibrant colors. Tulips symbolize love and happiness and are widely cultivated in gardens.
Bottlegourd,"A green, elongated vegetable with a mild flavor. Bottle gourd is commonly used in Asian cuisines and has cooling properties."
Mango,"A tropical fruit with a sweet, juicy pulp and a distinctive aroma. Mangoes are rich in vitamins A and C and are often called the 'king of fruits.'"
Brinjal,"Also known as eggplant, brinjal is a purple, spongy vegetable used in various cuisines. It is often grilled, fried, or used in curries."
Cabbage,"A leafy vegetable that can be green, red, or purple. Cabbage is commonly used in salads, stir-fries, and fermented dishes like sauerkraut and kimchi."
Chickoo,"Also known as sapodilla, chickoo is a brown, sweet fruit with a grainy texture. It is rich in fiber and has a caramel-like taste."
Grapes,"Small, juicy fruits that grow in clusters and come in green, red, or purple varieties. Grapes are eaten fresh, dried into raisins, or used in winemaking."
Adidas,"A well-known sportswear brand that manufactures footwear, clothing, and accessories. Adidas is recognized for its three-stripe logo and innovation in athletic gear."
Bittergourd,"A green, bumpy vegetable with a distinct bitter taste. It is commonly used in Asian and Indian cuisines and is known for its health benefits."
Hydrangeas,Beautiful flowers that grow in clusters and change color based on soil pH. Hydrangeas symbolize gratitude and heartfelt emotions.
Broccoli,"A nutritious green vegetable rich in vitamins and fiber. Broccoli is commonly steamed, stir-fried, or eaten raw in salads."
Nike,"A global sportswear brand famous for its athletic shoes, apparel, and accessories. Nikeâ€™s 'Just Do It' slogan and swoosh logo are iconic."
Banana,"A tropical fruit with a soft, sweet flesh covered by a yellow peel. Bananas are a great source of energy and potassium."
Hibiscus,A vibrant flower often used to make herbal teas. Hibiscus flowers have medicinal properties and are known for their bright red or pink petals.
Tacos,"A popular Mexican dish consisting of a folded or rolled tortilla filled with various ingredients like meat, cheese, and vegetables."
Papaya,A tropical fruit with orange flesh and black seeds. Papayas are rich in vitamin C and digestive enzymes.
Converse,"A well-known footwear brand, famous for its Chuck Taylor All-Star sneakers. Converse shoes are popular for their casual and stylish design."
GreatWall,"One of the most famous landmarks in China, built to protect ancient China from invasions. The Great Wall stretches over 13,000 miles and is a UNESCO World Heritage site."
Tomato,"A red, juicy fruit often used as a vegetable in cooking. Tomatoes are key ingredients in salads, sauces, and soups."
Orange,A citrus fruit known for its sweet and tangy flavor. Oranges are rich in vitamin C and are commonly eaten fresh or juiced.
Bougainvillea,"A tropical flowering plant with vibrant, paper-like petals. Bougainvillea is often grown as an ornamental plant in warm climates."
Carrot,"A crunchy, orange root vegetable rich in beta-carotene and vitamins. Carrots are commonly eaten raw, cooked, or juiced."
Eiffel Tower,"A famous iron tower located in Paris, France. The Eiffel Tower is an iconic symbol of France and attracts millions of tourists every year."
